rank,title,totalGross,maxTheaters,openingDate,simplePR
1,The Hunger Games: Mockingjay - Part 1,336758273,4151,11/21/14,81127
2,Guardians of the Galaxy,333176600,4088,08/01/14,81501
3,American Sniper,331812237,3885,12/25/14,85409
4,Captain America: The Winter Soldier,259766572,3938,04/04/14,65964
5,The LEGO Movie,257760692,3890,02/07/14,66262
6,The Hobbit: The Battle of the Five Armies,254396565,3875,12/17/14,65651
7,Transformers: Age of Extinction,245439076,4233,06/27/14,57982
8,Maleficent,241410378,3948,05/30/14,61148
9,X-Men: Days of Future Past,233921534,4001,05/23/14,58466
10,Big Hero 6,220876780,3773,11/07/14,58541
11,Dawn of the Planet of the Apes,208545589,3969,07/11/14,52544
12,The Amazing Spider-Man 2,202853933,4324,05/02/14,46913
13,Godzilla (2014),200676069,3952,05/16/14,50778
14,22 Jump Street,191719337,3426,06/13/14,55960
15,Teenage Mutant Ninja Turtles (2014),191204754,3980,08/08/14,48041
16,Interstellar,187784527,3561,11/05/14,52734
17,How to Train Your Dragon 2,177002924,4268,06/13/14,41472
18,Gone Girl,167767189,3284,10/03/14,51086
19,Divergent,150947895,3936,03/21/14,38351
20,Neighbors,150157400,3311,05/09/14,45351
21,Ride Along,134938200,2867,01/17/14,47066
22,Rio 2,131538435,3975,04/11/14,33091
23,Into the Woods,126969892,2833,12/25/14,44818
24,Lucy,126663600,3202,07/25/14,39558
25,The Fault in our Stars,124872350,3340,06/06/14,37387
26,Unbroken,115512310,3301,12/25/14,34993
27,Night at the Museum: Secret of the Tomb,112020302,3914,12/19/14,28620
28,Mr. Peabody & Sherman,111506430,3951,03/07/14,28222
29,300: Rise of An Empire,106580051,3490,03/07/14,30539
30,The Maze Runner,102427862,3638,09/19/14,28155
31,The Equalizer,101530738,3236,09/26/14,31375
32,Noah,101200044,3571,03/28/14,28339
33,Edge of Tomorrow,100206256,3505,06/06/14,28590
34,Non-Stop,92168600,3183,02/28/14,28957
35,Heaven is for Real,91443253,3048,04/16/14,30001
36,The Imitation Game,87059920,2402,11/28/14,36245
37,Dumb and Dumber To,86208010,3188,11/14/14,27041
38,Fury (2014),85817906,3313,10/17/14,25903
39,Annie (2014),85706021,3197,12/19/14,26808
40,Tammy,84525432,3465,07/02/14,24394
41,Annabelle,84273813,3215,10/03/14,26213
42,The Other Woman (2014),83911193,3306,04/25/14,25381
43,Penguins of Madagascar,82835488,3775,11/26/14,21943
44,Let's Be Cops,82390774,3140,08/13/14,26239
45,The Monuments Men,78031620,3083,02/07/14,25310
46,Hercules (2014),72688614,3595,07/25/14,20219
47,The Purge: Anarchy,71962800,2856,07/18/14,25197
48,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",66954149,3117,10/10/14,21480
49,Think Like a Man Too,65182182,2225,06/20/14,29295
50,Exodus: Gods and Kings,65014513,3503,12/12/14,18560
51,The Nut Job,64251541,3472,01/17/14,18506
52,God's Not Dead,60755732,1860,03/21/14,32664
53,Son of God,59700064,3271,02/28/14,18251
54,Planes: Fire & Rescue,59165787,3839,07/18/14,15412
55,The Grand Budapest Hotel,59100318,1467,03/07/14,40287
56,RoboCop (2014),58607007,3372,02/12/14,17380
57,Dracula Untold,56280355,2900,10/10/14,19407
58,Horrible Bosses 2,54445357,3400,11/26/14,16013
59,The Hundred-Foot Journey,54240821,2167,08/08/14,25030
60,No Good Deed (2014),52543632,2175,09/12/14,24158
61,Muppets Most Wanted,51183113,3194,03/21/14,16025
62,Ouija,50856010,2899,10/24/14,17543
63,The Boxtrolls,50837305,3464,09/26/14,14676
64,Jack Ryan: Shadow Recruit,50577412,3387,01/17/14,14933
65,Selma,50482395,2235,12/25/14,22587
66,If I Stay,50474843,3157,08/22/14,15988
67,The Book of Life (2014),50151543,3113,10/17/14,16110
68,About Last Night (2014),48637684,2253,02/14/14,21588
69,Into The Storm,47602194,3434,08/08/14,13862
70,The Judge,47119388,3003,10/10/14,15691
71,Jersey Boys,47047013,2905,06/20/14,16195
72,Blended,46294610,3555,05/23/14,13022
73,The Giver,45090374,3003,08/15/14,15015
74,St. Vincent,44136255,2552,10/10/14,17295
75,Need for Speed,43577636,3115,03/14/14,13990
76,A Million Ways to Die in the West,43139300,3160,05/30/14,13652
77,John Wick,43037835,2589,10/24/14,16623
78,Dolphin Tale 2,42024533,3656,09/12/14,11495
79,Birdman,40551969,1213,10/17/14,33431
80,The Expendables 3,39322544,3221,08/15/14,12208
81,Earth to Echo,38934842,3230,07/02/14,12054
82,Sex Tape,38543473,3062,07/18/14,12588
83,Wild (2014),37489205,1361,12/03/14,27545
84,Million Dollar Arm,36457627,3019,05/16/14,12076
85,The Theory of Everything,35145808,1220,11/07/14,28808
86,This is Where I Leave You,34296320,2868,09/19/14,11958
87,The Gambler,33680992,2494,12/25/14,13505
88,Paranormal Activity: The Marked Ones,32462372,2883,01/03/14,11260
89,Nightcrawler,32381217,2766,10/31/14,11707
90,Chef,31424003,1298,05/09/14,24210
91,Get On Up,30703100,2469,08/01/14,12435
92,3 Days to Kill,30697999,2872,02/21/14,10689
93,Deliver Us From Evil,30577122,3049,07/02/14,10029
94,When the Game Stands Tall,30127963,2766,08/22/14,10892
95,Draft Day,28842237,2781,04/11/14,10371
96,Oculus,27695246,2648,04/11/14,10459
97,The Best of Me,26766213,2936,10/17/14,9117
98,A Walk Among the Tombstones,26307600,2714,09/19/14,9693
99,That Awkward Moment,26068955,2809,01/31/14,9281
100,Boyhood,25363767,775,07/11/14,32727
101,Top Five,25317291,1426,12/12/14,17754
102,The November Man,25018119,2776,08/27/14,9012
103,Endless Love (2014),23438250,2896,02/14/14,8093
104,Pompeii,23219748,2658,02/21/14,8736
105,Transcendence,23022309,3455,04/18/14,6663
106,As Above/So Below,21321100,2650,08/29/14,8046
107,Brick Mansions,20396829,2647,04/25/14,7706
108,"I, Frankenstein",19075290,2753,01/24/14,6929
109,The Legend of Hercules,18848538,2104,01/10/14,8958
110,Bears,17780194,1790,04/18/14,9933
111,Addicted,17390770,1037,10/10/14,16770
112,A Haunted House 2,17329486,2310,04/18/14,7502
113,A Most Wanted Man,17237855,801,07/25/14,21520
114,Begin Again,16170632,1302,06/27/14,12420
115,Tyler Perry's The Single Moms Club,15973881,1896,03/14/14,8425
116,Devil's Due,15821461,2544,01/17/14,6219
117,And So It Goes,15160801,1816,07/25/14,8348
118,Step Up All In,14904384,2072,08/08/14,7193
119,Beyond the Lights,14618727,1789,11/14/14,8171
120,Big Eyes,14448094,1408,12/25/14,10261
121,America (2014),14444502,1105,06/27/14,13072
122,Left Behind (2014),14019924,1887,10/03/14,7430
123,Frank Miller's Sin City: A Dame to Kill For,13757804,2894,08/22/14,4754
124,Labor Day,13371528,2584,01/31/14,5175
125,Winter's Tale,12600231,2965,02/14/14,4250
126,Whiplash,12265000,567,10/10/14,21631
127,Foxcatcher,12059600,759,11/14/14,15889
128,Belle,10726630,525,05/02/14,20432
129,The Drop,10724389,1192,09/12/14,8997
130,P.K.,10616104,272,12/19/14,39030
131,Magic in the Moonlight,10539326,964,07/25/14,10933
132,Sabotage (2014),10508518,2486,03/28/14,4227
133,Moms' Night Out,10429707,1046,05/09/14,9971
134,Island of Lemurs: Madagascar (IMAX),8860259,302,04/04/14,29339
135,The Quiet Ones,8509867,2027,04/25/14,4198
136,Legends of Oz: Dorothy's Return,8462027,2658,05/09/14,3184
137,Inherent Vice,8110975,653,12/12/14,12421
138,Vampire Academy,7791979,2676,02/07/14,2912
139,Bad Words,7779614,1074,03/14/14,7244
140,Cantinflas,6382924,429,08/29/14,14879
141,The Interview (2014),6105175,581,12/25/14,10508
142,Meet the Mormons,5883132,333,10/10/14,17667
143,Cesar Chavez,5571497,664,03/28/14,8391
144,A Most Violent Year,5545256,818,12/31/14,6779
145,The Skeleton Twins,5284309,461,09/12/14,11463
146,The Wind Rises,5209580,496,02/21/14,10503
147,Snowpiercer,4563650,356,06/27/14,12819
148,The Railway Man,4438438,600,04/11/14,7397
149,Dear White People,4404154,393,10/17/14,11206
150,The Lunchbox,4235151,165,02/28/14,25668
151,My Old Lady,4013786,273,09/10/14,14703
152,Fading Gigolo,3769873,356,04/18/14,10590
153,Ida,3702612,137,05/02/14,27026
154,Calvary,3600006,322,08/01/14,11180
155,Wish I Was Here,3591299,753,07/18/14,4769
156,Ghostbusters (30th Anniversary re-release),3580343,784,08/29/14,4567
157,What If (2014),3493000,787,08/08/14,4438
158,Mommy,3488654,83,09/19/14,42032
159,The Grand Seduction,3430018,124,05/30/14,27661
160,Mr. Turner,3334000,120,12/19/14,27783
161,Veronica Mars,3322127,347,03/14/14,9574
162,Before I Go To Sleep,3242457,1902,10/31/14,1705
163,Rosewater,3128941,371,11/14/14,8434
164,Obvious Child,3123963,202,06/06/14,15465
165,The Trip to Italy,2873758,199,08/15/14,14441
166,The Identical,2827666,1956,09/05/14,1446
167,The Fluffy Movie,2827393,432,07/25/14,6545
168,Kirk Cameron's Saving Christmas,2783970,410,11/14/14,6790
169,The Pyramid,2756333,685,12/05/14,4024
170,The Good Lie,2722209,461,10/03/14,5905
171,Citizenfour,2708647,105,10/24/14,25797
172,The Raid 2,2627209,954,03/28/14,2754
173,Under the Skin (2014),2614251,176,04/04/14,14854
174,The Admiral: Roaring Currents,2589811,45,08/08/14,57551
175,Dragon Ball Z: Battle of Gods,2553002,692,08/05/14,3689
176,Bang Bang,2546172,271,10/02/14,9395
177,Kick,2472695,180,07/25/14,13737
178,Kill the Messenger,2450846,427,10/10/14,5740
179,The Homesman,2429989,222,11/14/14,10946
180,Love is Strange,2262223,138,08/22/14,16393
181,Ode to My Father,2238580,38,12/25/14,58910
182,2 States,2238174,137,04/18/14,16337
183,Le Week-End,2225098,157,03/14/14,14173
184,Anchorman 2 (R-Rated Extended Cut),2184339,1317,02/28/14,1659
185,2014 Oscar Nominated Short Films,2171849,167,01/31/14,13005
186,Words and Pictures,2171257,216,05/23/14,10052
187,Gloria (2014),2107925,110,01/24/14,19163
188,The Immigrant,2025328,150,05/16/14,13502
189,Only Lovers Left Alive,1879534,95,04/11/14,19785
190,Tusk,1826705,602,09/19/14,3034
